Ref_Date,GEO,FOOD,COM,Vector,Coordinate,Value
1960,Canada,Food available,Total fruits,v1312662,1.1.1,88.26
1961,Canada,Food available,Total fruits,v1312662,1.1.1,82.35
1962,Canada,Food available,Total fruits,v1312662,1.1.1,85.31
1963,Canada,Food available,Total fruits,v1312662,1.1.1,84.09
1964,Canada,Food available,Total fruits,v1312662,1.1.1,82.57
1965,Canada,Food available,Total fruits,v1312662,1.1.1,82.82
1966,Canada,Food available,Total fruits,v1312662,1.1.1,80.43
1967,Canada,Food available,Total fruits,v1312662,1.1.1,86.04
1968,Canada,Food available,Total fruits,v1312662,1.1.1,82.11
1969,Canada,Food available,Total fruits,v1312662,1.1.1,88.82
1970,Canada,Food available,Total fruits,v1312662,1.1.1,83.86
1971,Canada,Food available,Total fruits,v1312662,1.1.1,85.83
1972,Canada,Food available,Total fruits,v1312662,1.1.1,83.08
1973,Canada,Food available,Total fruits,v1312662,1.1.1,89.77
1974,Canada,Food available,Total fruits,v1312662,1.1.1,90.15
1975,Canada,Food available,Total fruits,v1312662,1.1.1,97.52
1976,Canada,Food available,Total fruits,v1312662,1.1.1,103.66
1977,Canada,Food available,Total fruits,v1312662,1.1.1,103.39
1978,Canada,Food available,Total fruits,v1312662,1.1.1,106.21
1979,Canada,Food available,Total fruits,v1312662,1.1.1,108.87
1980,Canada,Food available,Total fruits,v1312662,1.1.1,109.60
1981,Canada,Food available,Total fruits,v1312662,1.1.1,115.66
1982,Canada,Food available,Total fruits,v1312662,1.1.1,110.94
1983,Canada,Food available,Total fruits,v1312662,1.1.1,110.94
1984,Canada,Food available,Total fruits,v1312662,1.1.1,116.84
1985,Canada,Food available,Total fruits,v1312662,1.1.1,112.17
1986,Canada,Food available,Total fruits,v1312662,1.1.1,114.95
1987,Canada,Food available,Total fruits,v1312662,1.1.1,119.84
1988,Canada,Food available,Total fruits,v1312662,1.1.1,114.84
1989,Canada,Food available,Total fruits,v1312662,1.1.1,113.61
1990,Canada,Food available,Total fruits,v1312662,1.1.1,110.75
1991,Canada,Food available,Total fruits,v1312662,1.1.1,109.04
1992,Canada,Food available,Total fruits,v1312662,1.1.1,115.92
1993,Canada,Food available,Total fruits,v1312662,1.1.1,117.31
1994,Canada,Food available,Total fruits,v1312662,1.1.1,124.14
1995,Canada,Food available,Total fruits,v1312662,1.1.1,123.91
1996,Canada,Food available,Total fruits,v1312662,1.1.1,124.83
1997,Canada,Food available,Total fruits,v1312662,1.1.1,127.80
1998,Canada,Food available,Total fruits,v1312662,1.1.1,122.10
1999,Canada,Food available,Total fruits,v1312662,1.1.1,122.77
2000,Canada,Food available,Total fruits,v1312662,1.1.1,126.53
2001,Canada,Food available,Total fruits,v1312662,1.1.1,124.07
2002,Canada,Food available,Total fruits,v1312662,1.1.1,129.83
2003,Canada,Food available,Total fruits,v1312662,1.1.1,131.38
2004,Canada,Food available,Total fruits,v1312662,1.1.1,133.53
2005,Canada,Food available,Total fruits,v1312662,1.1.1,134.20
2006,Canada,Food available,Total fruits,v1312662,1.1.1,137.13
2007,Canada,Food available,Total fruits,v1312662,1.1.1,138.07
2008,Canada,Food available,Total fruits,v1312662,1.1.1,134.32
2009,Canada,Food available,Total fruits,v1312662,1.1.1,130.96
2010,Canada,Food available,Total fruits,v1312662,1.1.1,130.17
1960,Canada,Food available,Fresh fruits,v1312663,1.1.2,52.05
1961,Canada,Food available,Fresh fruits,v1312663,1.1.2,49.18
1962,Canada,Food available,Fresh fruits,v1312663,1.1.2,50.74
1963,Canada,Food available,Fresh fruits,v1312663,1.1.2,49.54
1964,Canada,Food available,Fresh fruits,v1312663,1.1.2,50.60
1965,Canada,Food available,Fresh fruits,v1312663,1.1.2,50.80
1966,Canada,Food available,Fresh fruits,v1312663,1.1.2,48.77
1967,Canada,Food available,Fresh fruits,v1312663,1.1.2,51.08
1968,Canada,Food available,Fresh fruits,v1312663,1.1.2,50.29
1969,Canada,Food available,Fresh fruits,v1312663,1.1.2,54.77
1970,Canada,Food available,Fresh fruits,v1312663,1.1.2,52.27
1971,Canada,Food available,Fresh fruits,v1312663,1.1.2,52.58
1972,Canada,Food available,Fresh fruits,v1312663,1.1.2,49.46
1973,Canada,Food available,Fresh fruits,v1312663,1.1.2,52.39
1974,Canada,Food available,Fresh fruits,v1312663,1.1.2,55.91
1975,Canada,Food available,Fresh fruits,v1312663,1.1.2,56.24
1976,Canada,Food available,Fresh fruits,v1312663,1.1.2,61.12
1977,Canada,Food available,Fresh fruits,v1312663,1.1.2,58.32
1978,Canada,Food available,Fresh fruits,v1312663,1.1.2,56.56
1979,Canada,Food available,Fresh fruits,v1312663,1.1.2,56.74
1980,Canada,Food available,Fresh fruits,v1312663,1.1.2,56.59
1981,Canada,Food available,Fresh fruits,v1312663,1.1.2,59.47
1982,Canada,Food available,Fresh fruits,v1312663,1.1.2,59.12
1983,Canada,Food available,Fresh fruits,v1312663,1.1.2,58.45
1984,Canada,Food available,Fresh fruits,v1312663,1.1.2,60.26
1985,Canada,Food available,Fresh fruits,v1312663,1.1.2,59.14
1986,Canada,Food available,Fresh fruits,v1312663,1.1.2,59.39
1987,Canada,Food available,Fresh fruits,v1312663,1.1.2,60.58
1988,Canada,Food available,Fresh fruits,v1312663,1.1.2,58.54
1989,Canada,Food available,Fresh fruits,v1312663,1.1.2,58.53
1990,Canada,Food available,Fresh fruits,v1312663,1.1.2,61.36
1991,Canada,Food available,Fresh fruits,v1312663,1.1.2,58.05
1992,Canada,Food available,Fresh fruits,v1312663,1.1.2,62.18
1993,Canada,Food available,Fresh fruits,v1312663,1.1.2,62.55
1994,Canada,Food available,Fresh fruits,v1312663,1.1.2,65.60
1995,Canada,Food available,Fresh fruits,v1312663,1.1.2,64.27
1996,Canada,Food available,Fresh fruits,v1312663,1.1.2,63.05
1997,Canada,Food available,Fresh fruits,v1312663,1.1.2,63.30
1998,Canada,Food available,Fresh fruits,v1312663,1.1.2,63.60
1999,Canada,Food available,Fresh fruits,v1312663,1.1.2,62.41
2000,Canada,Food available,Fresh fruits,v1312663,1.1.2,63.64
2001,Canada,Food available,Fresh fruits,v1312663,1.1.2,63.30
2002,Canada,Food available,Fresh fruits,v1312663,1.1.2,65.55
2003,Canada,Food available,Fresh fruits,v1312663,1.1.2,67.44
2004,Canada,Food available,Fresh fruits,v1312663,1.1.2,68.71
2005,Canada,Food available,Fresh fruits,v1312663,1.1.2,70.97
2006,Canada,Food available,Fresh fruits,v1312663,1.1.2,73.02
2007,Canada,Food available,Fresh fruits,v1312663,1.1.2,73.13
2008,Canada,Food available,Fresh fruits,v1312663,1.1.2,73.69
2009,Canada,Food available,Fresh fruits,v1312663,1.1.2,73.58
2010,Canada,Food available,Fresh fruits,v1312663,1.1.2,74.43
1960,Canada,Food available,Total processed fruits,v1312664,1.1.3,8.17
1961,Canada,Food available,Total processed fruits,v1312664,1.1.3,8.07
1962,Canada,Food available,Total processed fruits,v1312664,1.1.3,7.96
1963,Canada,Food available,Total processed fruits,v1312664,1.1.3,8.61
1964,Canada,Food available,Total processed fruits,v1312664,1.1.3,8.28
1965,Canada,Food available,Total processed fruits,v1312664,1.1.3,9.16
1966,Canada,Food available,Total processed fruits,v1312664,1.1.3,8.47
1967,Canada,Food available,Total processed fruits,v1312664,1.1.3,8.80
1968,Canada,Food available,Total processed fruits,v1312664,1.1.3,7.95
1969,Canada,Food available,Total processed fruits,v1312664,1.1.3,8.22
1970,Canada,Food available,Total processed fruits,v1312664,1.1.3,7.30
1971,Canada,Food available,Total processed fruits,v1312664,1.1.3,7.93
1972,Canada,Food available,Total processed fruits,v1312664,1.1.3,7.52
1973,Canada,Food available,Total processed fruits,v1312664,1.1.3,7.98
1974,Canada,Food available,Total processed fruits,v1312664,1.1.3,6.93
1975,Canada,Food available,Total processed fruits,v1312664,1.1.3,7.17
1976,Canada,Food available,Total processed fruits,v1312664,1.1.3,6.81
1977,Canada,Food available,Total processed fruits,v1312664,1.1.3,7.00
1978,Canada,Food available,Total processed fruits,v1312664,1.1.3,7.16
1979,Canada,Food available,Total processed fruits,v1312664,1.1.3,7.27
1980,Canada,Food available,Total processed fruits,v1312664,1.1.3,6.72
1981,Canada,Food available,Total processed fruits,v1312664,1.1.3,6.62
1982,Canada,Food available,Total processed fruits,v1312664,1.1.3,6.18
1983,Canada,Food available,Total processed fruits,v1312664,1.1.3,6.21
1984,Canada,Food available,Total processed fruits,v1312664,1.1.3,6.62
1985,Canada,Food available,Total processed fruits,v1312664,1.1.3,6.77
1986,Canada,Food available,Total processed fruits,v1312664,1.1.3,5.96
1987,Canada,Food available,Total processed fruits,v1312664,1.1.3,7.02
1988,Canada,Food available,Total processed fruits,v1312664,1.1.3,8.46
1989,Canada,Food available,Total processed fruits,v1312664,1.1.3,7.92
1990,Canada,Food available,Total processed fruits,v1312664,1.1.3,7.56
1991,Canada,Food available,Total processed fruits,v1312664,1.1.3,7.88
1992,Canada,Food available,Total processed fruits,v1312664,1.1.3,8.00
1993,Canada,Food available,Total processed fruits,v1312664,1.1.3,7.61
1994,Canada,Food available,Total processed fruits,v1312664,1.1.3,7.20
1995,Canada,Food available,Total processed fruits,v1312664,1.1.3,7.17
1996,Canada,Food available,Total processed fruits,v1312664,1.1.3,7.56
1997,Canada,Food available,Total processed fruits,v1312664,1.1.3,8.18
1998,Canada,Food available,Total processed fruits,v1312664,1.1.3,7.84
1999,Canada,Food available,Total processed fruits,v1312664,1.1.3,8.49
2000,Canada,Food available,Total processed fruits,v1312664,1.1.3,8.35
2001,Canada,Food available,Total processed fruits,v1312664,1.1.3,8.43
2002,Canada,Food available,Total processed fruits,v1312664,1.1.3,8.60
2003,Canada,Food available,Total processed fruits,v1312664,1.1.3,8.95
2004,Canada,Food available,Total processed fruits,v1312664,1.1.3,9.16
2005,Canada,Food available,Total processed fruits,v1312664,1.1.3,9.07
2006,Canada,Food available,Total processed fruits,v1312664,1.1.3,9.42
2007,Canada,Food available,Total processed fruits,v1312664,1.1.3,9.64
2008,Canada,Food available,Total processed fruits,v1312664,1.1.3,10.13
2009,Canada,Food available,Total processed fruits,v1312664,1.1.3,10.04
2010,Canada,Food available,Total processed fruits,v1312664,1.1.3,17.89
1960,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,20.89
1961,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,18.90
1962,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,18.97
1963,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,20.18
1964,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,19.02
1965,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,20.19
1966,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,18.04
1967,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,19.46
1968,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,17.65
1969,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,18.74
1970,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,16.08
1971,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,16.51
1972,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,16.44
1973,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,17.51
1974,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,14.63
1975,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,16.08
1976,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,15.91
1977,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,15.82
1978,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,16.68
1979,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,16.33
1980,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,15.18
1981,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,15.16
1982,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,15.34
1983,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,14.89
1984,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,15.94
1985,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,16.11
1986,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,14.71
1987,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,16.61
1988,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,16.91
1989,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,16.74
1990,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,15.93
1991,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,17.07
1992,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,16.34
1993,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,16.38
1994,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,14.79
1995,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,14.76
1996,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,15.50
1997,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,16.64
1998,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,15.34
1999,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,16.36
2000,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,16.77
2001,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,16.80
2002,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,17.00
2003,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,17.84
2004,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,18.32
2005,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,17.52
2006,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,18.50
2007,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,18.52
2008,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,18.16
2009,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,17.71
2010,Canada,Food available,Total processed fruits (fresh equivalent),v46438981,1.1.37,17.89
1960,Canada,Food available,Canned fruits,v1312665,1.1.4,4.76
1961,Canada,Food available,Canned fruits,v1312665,1.1.4,5.06
1962,Canada,Food available,Canned fruits,v1312665,1.1.4,4.79
1963,Canada,Food available,Canned fruits,v1312665,1.1.4,5.21
1964,Canada,Food available,Canned fruits,v1312665,1.1.4,5.04
1965,Canada,Food available,Canned fruits,v1312665,1.1.4,5.46
1966,Canada,Food available,Canned fruits,v1312665,1.1.4,5.27
1967,Canada,Food available,Canned fruits,v1312665,1.1.4,5.29
1968,Canada,Food available,Canned fruits,v1312665,1.1.4,4.86
1969,Canada,Food available,Canned fruits,v1312665,1.1.4,4.92
1970,Canada,Food available,Canned fruits,v1312665,1.1.4,4.21
1971,Canada,Food available,Canned fruits,v1312665,1.1.4,5.06
1972,Canada,Food available,Canned fruits,v1312665,1.1.4,4.54
1973,Canada,Food available,Canned fruits,v1312665,1.1.4,4.95
1974,Canada,Food available,Canned fruits,v1312665,1.1.4,4.25
1975,Canada,Food available,Canned fruits,v1312665,1.1.4,4.20
1976,Canada,Food available,Canned fruits,v1312665,1.1.4,3.99
1977,Canada,Food available,Canned fruits,v1312665,1.1.4,4.14
1978,Canada,Food available,Canned fruits,v1312665,1.1.4,4.34
1979,Canada,Food available,Canned fruits,v1312665,1.1.4,4.54
1980,Canada,Food available,Canned fruits,v1312665,1.1.4,3.88
1981,Canada,Food available,Canned fruits,v1312665,1.1.4,3.88
1982,Canada,Food available,Canned fruits,v1312665,1.1.4,3.42
1983,Canada,Food available,Canned fruits,v1312665,1.1.4,3.30
1984,Canada,Food available,Canned fruits,v1312665,1.1.4,3.71
1985,Canada,Food available,Canned fruits,v1312665,1.1.4,3.77
1986,Canada,Food available,Canned fruits,v1312665,1.1.4,3.20
1987,Canada,Food available,Canned fruits,v1312665,1.1.4,3.45
1988,Canada,Food available,Canned fruits,v1312665,1.1.4,5.48
1989,Canada,Food available,Canned fruits,v1312665,1.1.4,4.71
1990,Canada,Food available,Canned fruits,v1312665,1.1.4,4.53
1991,Canada,Food available,Canned fruits,v1312665,1.1.4,4.78
1992,Canada,Food available,Canned fruits,v1312665,1.1.4,4.96
1993,Canada,Food available,Canned fruits,v1312665,1.1.4,4.35
1994,Canada,Food available,Canned fruits,v1312665,1.1.4,4.09
1995,Canada,Food available,Canned fruits,v1312665,1.1.4,4.05
1996,Canada,Food available,Canned fruits,v1312665,1.1.4,4.47
1997,Canada,Food available,Canned fruits,v1312665,1.1.4,4.98
1998,Canada,Food available,Canned fruits,v1312665,1.1.4,4.78
1999,Canada,Food available,Canned fruits,v1312665,1.1.4,5.12
2000,Canada,Food available,Canned fruits,v1312665,1.1.4,4.97
2001,Canada,Food available,Canned fruits,v1312665,1.1.4,5.02
2002,Canada,Food available,Canned fruits,v1312665,1.1.4,5.13
2003,Canada,Food available,Canned fruits,v1312665,1.1.4,5.13
2004,Canada,Food available,Canned fruits,v1312665,1.1.4,5.31
2005,Canada,Food available,Canned fruits,v1312665,1.1.4,5.12
2006,Canada,Food available,Canned fruits,v1312665,1.1.4,5.24
2007,Canada,Food available,Canned fruits,v1312665,1.1.4,5.33
2008,Canada,Food available,Canned fruits,v1312665,1.1.4,5.93
2009,Canada,Food available,Canned fruits,v1312665,1.1.4,5.72
2010,Canada,Food available,Canned fruits,v1312665,1.1.4,5.66
1960,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,5.84
1961,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.29
1962,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,5.85
1963,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.49
1964,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.18
1965,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.73
1966,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.45
1967,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.66
1968,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.03
1969,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.14
1970,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,5.26
1971,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.42
1972,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,5.75
1973,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.18
1974,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,5.31
1975,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,5.38
1976,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,5.12
1977,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,5.19
1978,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,5.57
1979,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,5.93
1980,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,5.17
1981,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,5.14
1982,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,4.52
1983,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,4.28
1984,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,4.95
1985,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,5.10
1986,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,4.18
1987,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,4.59
1988,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.64
1989,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,5.91
1990,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,5.67
1991,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.05
1992,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.20
1993,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,5.52
1994,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,5.14
1995,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,5.02
1996,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,5.45
1997,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,5.96
1998,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,5.68
1999,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.07
2000,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,5.91
2001,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.08
2002,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.13
2003,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.14
2004,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.33
2005,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.14
2006,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.27
2007,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.33
2008,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.93
2009,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.60
2010,Canada,Food available,Canned fruits (fresh equivalent),v46438982,1.1.38,6.33
1960,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.00
1961,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.03
1962,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.10
1963,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.26
1964,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.25
1965,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.69
1966,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.47
1967,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.59
1968,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.32
1969,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.37
1970,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.50
1971,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.37
1972,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.39
1973,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.33
1974,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.31
1975,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.39
1976,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.18
1977,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.26
1978,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.11
1979,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.15
1980,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.36
1981,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.23
1982,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.10
1983,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.33
1984,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.24
1985,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.36
1986,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.17
1987,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.85
1988,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.50
1989,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.67
1990,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.56
1991,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.48
1992,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.60
1993,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.71
1994,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.78
1995,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.78
1996,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.68
1997,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.67
1998,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.71
1999,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.97
2000,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.86
2001,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.94
2002,Canada,Food available,Frozen fruits,v1312666,1.1.5,1.97
2003,Canada,Food available,Frozen fruits,v1312666,1.1.5,2.23
2004,Canada,Food available,Frozen fruits,v1312666,1.1.5,2.21
2005,Canada,Food available,Frozen fruits,v1312666,1.1.5,2.47
2006,Canada,Food available,Frozen fruits,v1312666,1.1.5,2.58
2007,Canada,Food available,Frozen fruits,v1312666,1.1.5,2.75
2008,Canada,Food available,Frozen fruits,v1312666,1.1.5,2.81
2009,Canada,Food available,Frozen fruits,v1312666,1.1.5,2.97
2010,Canada,Food available,Frozen fruits,v1312666,1.1.5,3.11
1960,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.01
1961,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.03
1962,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.12
1963,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.28
1964,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.26
1965,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.77
1966,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.55
1967,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.64
1968,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.35
1969,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.42
1970,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.56
1971,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.37
1972,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.49
1973,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.42
1974,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.32
1975,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.44
1976,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.25
1977,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.33
1978,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.17
1979,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.17
1980,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.40
1981,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.25
1982,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.14
1983,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.40
1984,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.25
1985,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.45
1986,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.26
1987,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.93
1988,Canada,Food available,Frozen fruits (fresh equivalent),v46438983,1.1.39,1.63
